Vardas                   Pavardė                        ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15 Egzaminas
VardasNR3575             PavardeNR3575                     2        10         7         7        10         7         3         3         8         5         8         5         5         7         8         6
VardasNR3576             PavardeNR3576                     9         3         4         7         9         6         1         7         1         5         2         6        10         2         9         8
VardasNR3577             PavardeNR3577                     1         1         3         7         4         9         7         8         4         6         4         3         6         6         4         3
VardasNR3578             PavardeNR3578                     6         8         4         3         5         7         1         4         6         9         1         5         9         9         6         4
VardasNR3579             PavardeNR3579                     8         3         6        10         9         7         2         1         2         5         3         7        10         6         8        10
VardasNR3580             PavardeNR3580                     4         5         7         7         5         6         3         5         4         7         4         3        10         7         8         4
VardasNR3581             PavardeNR3581                     4         3         7         3         6         1         3         7         1         1        10         9         3        10         6         2
VardasNR3582             PavardeNR3582                     1         2         1         8         5         1         8         7         5         5         1         9         5         5         5         8
VardasNR3583             PavardeNR3583                     6         6         2        10         7         4         7         8         5         9         3         6         7        10         5         3
VardasNR3584             PavardeNR3584                     7         4         3         5        10         3         4        10         7         8         1         8         8         1         5         2
VardasNR3585             PavardeNR3585                     1         4         5         4         7         3         6        10         7         1         9         2         7         8         6         3
VardasNR3586             PavardeNR3586                     2         9         9         9         7         1         8         8         4         6         9         1         9         5        10         3
VardasNR3587             PavardeNR3587                     1        10        10         1         2         2         4         3         8         4         8         4        10         3         4        10
VardasNR3588             PavardeNR3588                     2         9         3         5         9         8         6         6         6         1         8         2         2         5         7         2
VardasNR3589             PavardeNR3589                     7         2        10         4         7         3         5         7         2         1         4        10         3         6         9        10
VardasNR3590             PavardeNR3590                     8         7         4         3         4        10        10         6         9        10         1         5         9         7         1        10
VardasNR3591             PavardeNR3591                     6         9         2        10         1         6         5         8         7         5         7         6         8         9         2         5
VardasNR3592             PavardeNR3592                     7         5        10         1         2        10         2         6         8         2         6         6         2         9         6         3
VardasNR3593             PavardeNR3593                     5         9         3         4         1         7         9         8         2         3        10         7         1         7         4         2
VardasNR3594             PavardeNR3594                     1         6         5         1         3         9         2        10         2         4         9        10         6         9         6        10
VardasNR3595             PavardeNR3595                     1         2         2         6         7        10         1         3         4         3         2         4         2         1         9         8
VardasNR3596             PavardeNR3596                     1         2         3         9         1         1        10         6         3         9         4         9         7         9         3         1
VardasNR3597             PavardeNR3597                     3         5         9         5        10         2         9         6         6         3        10         5         3         1         8         9
VardasNR3598             PavardeNR3598                     2         9         7         6         3         5         2         4         4         2         4         6         3         1         6         7
VardasNR3599             PavardeNR3599                     3         2         2         4         2         5         8         8         1         4         7         5         1         2         3         7
VardasNR3600             PavardeNR3600                     7         2         4         4         6         6         8         9         9         5         9        10         4         2         1         3
VardasNR3601             PavardeNR3601                     3         8         8         7         9         1        10         2        10         1         3         4         7         2         4         8
VardasNR3602             PavardeNR3602                     4         2         2         2         3         8        10         2         4         2         4         2         1         2         4         3
VardasNR3603             PavardeNR3603                     9         5         1         7         4         2         4        10         2         2         2         4        10         7         9         3
VardasNR3604             PavardeNR3604                     9         9         5         1         7         2         9         5        10         8        10         4         2         5         9         4
VardasNR3605             PavardeNR3605                     3         4         6         6         1         2         2         6         9         5         5         7         8         8         8         2
VardasNR3606             PavardeNR3606                    10         6         3         3         4        10        10         1         7         3         4         4        10         8        10         2
VardasNR3607             PavardeNR3607                    10         5         4         6         2         1         5         9         2         9         4         6         6         1         3        10
VardasNR3608             PavardeNR3608                     7        10         1         7         6         7         2         2         5        10         1         7         9         1         1         4
VardasNR3609             PavardeNR3609                    10         3        10         7         9        10        10         2         7         9         4         8         4         9         4        10
VardasNR3610             PavardeNR3610                     4         8         2         2         5         2         7        10         8         3         3         1         5        10         8         5
VardasNR3611             PavardeNR3611                     4         8         2         6         3         8         5         6         3         1         3         5         6         9        10         9
VardasNR3612             PavardeNR3612                     4         3         7         7         5         3         8         6         3         6         1         8         2         8        10         7
VardasNR3613             PavardeNR3613                     2         5         1         1         5         7         3         5         6         5         6         8         4         9         7         8
VardasNR3614             PavardeNR3614                     6         3         8         7         8         2         5         5         5         6         4         3         7         6         9         4
VardasNR3615             PavardeNR3615                     5         9         1         9         5         7        10         9         8        10         7         2         1         1        10         1
VardasNR3616             PavardeNR3616                     9         4         5         4         9         4         3         5         1         4         8         4         6         8         2         2
VardasNR3617             PavardeNR3617                     5         9        10         5         4         8         6         2         7        10        10         1         1        10         3         5
VardasNR3618             PavardeNR3618                     4         1        10         7         8         2         3         7        10        10         6         3        10         3         8         8
VardasNR3619             PavardeNR3619                     5         7         9         4         6         2         6         4         9         2         4         4         6        10         5         5
VardasNR3620             PavardeNR3620                    10         9         7         3         7         4         2         4         1         3         7         1         7         6         3         1
VardasNR3621             PavardeNR3621                     2         1         7         5         6         9         3         3         9         5         9         9        10         1         9        10
VardasNR3622             PavardeNR3622                     5         2        10         3         5         5         7         4         3         6        10         6         3         8         1         3
VardasNR3623             PavardeNR3623                     7         8         1         8         1         3        10         5         4         8         1         8         3        10         9         8
VardasNR3624             PavardeNR3624                     2         7         1         9         4         3         7         7         1         9         3         6         4         3         3         8
VardasNR3625             PavardeNR3625                     1         3         4         7         1         4         3         7         6         7         1         1         1         6        10        10
VardasNR3626             PavardeNR3626                     5         5        10         8         3         3        10         9         5         2         6         3         6        10         1         6
VardasNR3627             PavardeNR3627                    10         1         8         7         4         5         4         3         8         8         5         8        10        10         1         5
VardasNR3628             PavardeNR3628                     6         6         5         7         2        10         7         8         5         7         7         9         2         4        10         9
VardasNR3629             PavardeNR3629                     5        10         4         8         9         2         8         4         5         6         6         1         5         2         4        10
VardasNR3630             PavardeNR3630                     9         2         2         9         3         5         3         7         7         8         7         9         4         8        10         8
VardasNR3631             PavardeNR3631                    10         8         5         4         6         7         5         7         5         6         9        10         4         6         1         4
VardasNR3632             PavardeNR3632                     8         9         5        10         2         3         2         9         8        10         3         6        10         4        10         2
VardasNR3633             PavardeNR3633                     5         8         6         8         7         1         5         3         7         7         1         3         3         1        10         8
VardasNR3634             PavardeNR3634                    10         6         1         6        10         5         5         5         2         9         1        10         7         9         8        10
VardasNR3635             PavardeNR3635                     3         7         5         9         5         6        10         2         8         8         5        10         7         4         1         1
VardasNR3636             PavardeNR3636                     5         9         1         6         1         1         1         8         6         7         4         6         5         4         6         9
VardasNR3637             PavardeNR3637                     9         3         1         6         7         8         3         5         9        10         8         4         1         4        10         1
VardasNR3638             PavardeNR3638                     4        10         4         3         9         7         3         4         1         6         9         7         7        10        10         8
VardasNR3639             PavardeNR3639                     5         2         6         5         5         8         8         2         1         4        10         4         2         3         7         9
VardasNR3640             PavardeNR3640                     7         7        10         2         9         9         8         4         4         4         6         9         2         8         1         5
VardasNR3641             PavardeNR3641                     1        10         8         7         3         3         4         2         3         4        10         3         1         2         9         4
VardasNR3642             PavardeNR3642                     9         9        10         5         5         9         8         4         7         4         7         5         6         6         3         1
VardasNR3643             PavardeNR3643                     9         5        10         5         6         1         5        10        10        10         9         7         4         2         3         8
VardasNR3644             PavardeNR3644                     8         4         2         7         5         8         7         2         3         6         6         2         3         1        10         1
VardasNR3645             PavardeNR3645                     7         7         7         3         7        10        10         9         1         8         6         7         8         8        10         7
VardasNR3646             PavardeNR3646                     9         7         6         4         4         6         3         7         1         8         1        10         9         4         2        10
VardasNR3647             PavardeNR3647                     7         7         6         9        10         1         7         1         3        10         5         5         5         3         2         5
VardasNR3648             PavardeNR3648                     1         9        10         3         6         6         3         2         6         4         9         7         2        10        10         6
VardasNR3649             PavardeNR3649                     1        10         4         1         2         5         3         2         6         5         6         7         9         7         6         2
VardasNR3650             PavardeNR3650                     6         3         9         9         1         6         4         3         3         6         3         2         5         6         9         7
VardasNR3651             PavardeNR3651                     6         9         7         7         9         5         6         8         8         4         6         6         2         9         6         5
VardasNR3652             PavardeNR3652                     2         1         8         2        10         2         1         7         4         2         9         4         3         4         8         3
VardasNR3653             PavardeNR3653                     6         2         7         5         3         8         8         9         7         3         8         1         6         4         2         3
VardasNR3654             PavardeNR3654                     5         3         9         9        10         3         1         6        10         4         5         1         3         4         6         6
VardasNR3655             PavardeNR3655                    10         7         3         9         3         9        10         5         7         8         2        10         7         3         2         2
VardasNR3656             PavardeNR3656                    10         3         8        10         9         2         9         9         9         9         7        10         1         5         2         6
VardasNR3657             PavardeNR3657                     6         1         6         8         5         2         4         4         9         9         1         2         7         4         8         7
VardasNR3658             PavardeNR3658                    10         6         7         7         7         9         1         9         6         6         7         5         4         3         8         4
VardasNR3659             PavardeNR3659                     2         5         6         9         7         1         9         5         6         7        10         9         4         8        10         9
VardasNR3660             PavardeNR3660                     1         9         5         2         8         1         9         3         1         3         6         7         4         1         6         9
VardasNR3661             PavardeNR3661                     2         2         4         2         7         5         9         2         3         4        10         7         3         7        10         6
VardasNR3662             PavardeNR3662                     9         2         8         2         1         7         2         3         8         3         8         9         3        10         3         7
VardasNR3663             PavardeNR3663                    10         6         4        10         4         5         9         3         5         7        10         8         9         3         3         7
VardasNR3664             PavardeNR3664                     3         2         6         1         3         7         3         5         3         4         7         5        10         4         7        10
VardasNR3665             PavardeNR3665                     1        10         6         7         2         6         7         1         3         3         4         6         5        10         1         3
VardasNR3666             PavardeNR3666                     6         8         3         7         9         4         3         1         5         6         8         5         9         5         8         4
VardasNR3667             PavardeNR3667                     8         9         8         2         7         6         5         4         3         9         3        10         3         3         5         7
VardasNR3668             PavardeNR3668                     9         1         6         4         9         1        10         4         7         3         8         3         1         4         2         9
VardasNR3669             PavardeNR3669                     6         3         8         2         2         8         1         3         4         6         3         6         8         3         3         5
VardasNR3670             PavardeNR3670                     7         4         8         8         1         4         9         8         5         7         6         3        10         4         3         6
VardasNR3671             PavardeNR3671                     6         7         8         4        10         1         4         5         4        10         7         4         1         8         1         7
VardasNR3672             PavardeNR3672                     8         7         6         9         1         1         1         5         7         6         9         4         3        10         2         3
VardasNR3673             PavardeNR3673                     9        10        10         7         8         3        10         5         8         9         2         3         5         1         5         9
VardasNR3674             PavardeNR3674                     6         9         3        10         5         9         9         3         5         2         4        10         2         5         2         1
VardasNR3675             PavardeNR3675                     8         8         9         5         1        10        10         4         4        10         5        10         4         4         9         5
VardasNR3676             PavardeNR3676                     5         4         5         6         9         5         7         6         4         2         3         6         4         1         9         8
VardasNR3677             PavardeNR3677                     7        10         3         1         5         3         2        10         5         9         4        10         3         8         6         2
VardasNR3678             PavardeNR3678                     8         9         8         2         6         6         6         2        10         2         1         6         4         6         1        10
VardasNR3679             PavardeNR3679                     4         1        10         4         9         8         5         6         7         5         2         3         8        10         7         6
VardasNR3680             PavardeNR3680                     1        10         7         3         1        10         3         7         6         3         9         6         9         1         7         4
VardasNR3681             PavardeNR3681                     1         7         3         4         6         9         4         7         8         7         5         7         4        10         1         5
VardasNR3682             PavardeNR3682                     2         9         2         9         5         7         4        10         8         4         1         6         9         5         4         1
VardasNR3683             PavardeNR3683                     2         9         2         5         9         5         2         6         8         1         8         2         9         7         3         3
VardasNR3684             PavardeNR3684                     5         2         4         4         4         1         2         5         1         6         9         3         7         3         8         2
VardasNR3685             PavardeNR3685                     6         8         4         9         9         3         3         6         4         5         2         9         6         2         1         7
VardasNR3686             PavardeNR3686                     2         9         3         4         4         2         2         8         5         9         9        10         4         7         2         4
VardasNR3687             PavardeNR3687                    10         9         5         5         8        10         8         5         7        10         7         1         9         6         2         7
VardasNR3688             PavardeNR3688                     5         6        10         6        10         1         1         8         6         7         1         9         4         2        10         4
VardasNR3689             PavardeNR3689                     6         6         5         8         5         2         6         2         9         3         3        10         8         2         5         7
VardasNR3690             PavardeNR3690                     2        10         8         4         1         4         9         9        10         2         2         2         1         1         7         4
VardasNR3691             PavardeNR3691                     3         1         1         5         3         2         3         9         4         4         3         7         8         8         3         6
VardasNR3692             PavardeNR3692                     8         7         5         6         5         5         7         4         4         4         1         7        10        10         7         4
VardasNR3693             PavardeNR3693                     1         1         6         5         7         6         4         7         6         2         7         9         3        10        10         7
VardasNR3694             PavardeNR3694                     1         9         5         3         2         8         5         6        10         4         8         7         1         8         3         2
VardasNR3695             PavardeNR3695                     1         1         1         1         9         3         6        10         4         5         5         6         9         6         6         4
VardasNR3696             PavardeNR3696                     5         1         1         3        10         6        10         2        10         2         6         7         1         1         8         1
VardasNR3697             PavardeNR3697                     1         8         3         8         5         9         3         2         8         9         1         9         1         7         7         6
VardasNR3698             PavardeNR3698                     5         2         4         6        10         1         8        10         1         4         2         8         3         1         5         6
VardasNR3699             PavardeNR3699                     1        10         7         5         5         8         2         4         2         4         6         4        10         3         2         4
VardasNR3700             PavardeNR3700                     9         7         9         9         7        10         6         2         6         1         5         6         5         4        10         5
VardasNR3701             PavardeNR3701                     7         3         3         7         9         5         5         2         6         1         9         2         6        10         7         2
VardasNR3702             PavardeNR3702                     8         7         7         1         7         2         7         9         2         2         4         6         3         8         7         8
VardasNR3703             PavardeNR3703                     5         1         9         2         5         1         8         1         6         3         1         5         5         3         3         1
VardasNR3704             PavardeNR3704                     2         1         1         7         5         8         5         5         3         5        10         8         7         5         5         7
VardasNR3705             PavardeNR3705                     5         8         4         6         7         8         8         4         8         8         3         4         1         4         7         5
VardasNR3706             PavardeNR3706                     1        10         6         3        10         5         7         1         9         8        10         4         9         7         3         5
VardasNR3707             PavardeNR3707                     8         1         1        10         6        10         4         7         9         9         6         2         9         8         4         1
VardasNR3708             PavardeNR3708                     4         4         1         4        10         5         9         3         8         3         7         4        10         8         6         4
VardasNR3709             PavardeNR3709                     4         6         3         3         2         6         9         8         2         5         7         8         5         7         9         1
VardasNR3710             PavardeNR3710                     7         8         7         8         8         6         8         5         2         4         5         3         1         6         8         8
VardasNR3711             PavardeNR3711                     3         4         5         9         7         2         7         1        10         8         2         5         7        10         5         7
VardasNR3712             PavardeNR3712                     8         5         1        10         4         3         6         5         4        10         5         7         1         8         1         7
VardasNR3713             PavardeNR3713                    10        10         4         2         2         7         9         8         7         1         8         5         2         9         4        10
VardasNR3714             PavardeNR3714                     8         5         5         2         4         4         2         4         2         7         5         5        10        10         1         6
VardasNR3715             PavardeNR3715                     5         9         6         8        10         8         9         4         8         8         6         2         3         2         8         6
VardasNR3716             PavardeNR3716                     1         9         5         3         1         6         7        10         2         6         8         8         2         3         3         5
VardasNR3717             PavardeNR3717                     1         7         6         9         8         5         5         7         9         3         1         6         2         6         3        10
VardasNR3718             PavardeNR3718                     8         1        10         8         4        10         5        10         9         4         8         3         8         2         2         1
VardasNR3719             PavardeNR3719                     1        10         5         8         2         3         5         6        10         4         1         8         2         4         3         1
VardasNR3720             PavardeNR3720                     8         8         6         8         3         2         4         7         7         4         2         8         1         8         7        10
VardasNR3721             PavardeNR3721                     8         8         2        10         2         2         5        10         8         5         6         4         4         8         7         9
VardasNR3722             PavardeNR3722                     5         4         4         6         5         6         3         2         2         7         4         1         3         6         9         9
VardasNR3723             PavardeNR3723                     2         8         4         9         4         6         1         3         6         3         2         1         5         6         9         8
VardasNR3724             PavardeNR3724                    10         7         4         3         9         9         3         6        10         6         3         7         7         6         4         3
VardasNR3725             PavardeNR3725                     2         3         5         3         1         2         4         6         6         7         3         2         7         6         2         4
VardasNR3726             PavardeNR3726                     8         4         8         8         4         2         7         9         3        10         6         4         4         2         7         1
VardasNR3727             PavardeNR3727                     7         6         2         8         9         6         2         4         7         1         7         9         6         4         7         3
VardasNR3728             PavardeNR3728                     1         4         5         2         8         1         6         6         1         6         5         2         7         1         2         7
VardasNR3729             PavardeNR3729                    10         2         8         4         8         2         2        10         3         9         5         1         8         2         2         2
VardasNR3730             PavardeNR3730                     2         9         1         7         7        10         3        10         5         5        10         8         8         2         1         1
VardasNR3731             PavardeNR3731                     2         9         8         1         6         8         7         2         2         2         6         5         9         3         1         5
VardasNR3732             PavardeNR3732                     4         9         8         7         5         3         3         6        10         1         6         8         7         3         9         8
VardasNR3733             PavardeNR3733                     1         9         6         4         4         8         8         3         3         6         3         8        10         2         3         2
VardasNR3734             PavardeNR3734                     3         2         4         9         7         1         1         9         1         2         7         3         5         9         5         7
VardasNR3735             PavardeNR3735                     7         1         1         2         3        10         7        10         6         5         3         1         8        10         4        10
VardasNR3736             PavardeNR3736                     1         3         3        10         5        10         4         1         2         8        10         4         8        10         9         2
VardasNR3737             PavardeNR3737                     9        10         7         7         7         4        10         7         9         6         6         3         1         4         1         4
VardasNR3738             PavardeNR3738                     5         9         7         8         1         3        10         1         2         6         8         9         4         3         3         2
VardasNR3739             PavardeNR3739                     2         5         1         5         7         1         3         5         5         5         7         3         6         2         8         8
VardasNR3740             PavardeNR3740                     6         5         6        10         3         4         2         6         5         9         6         9         3         5         2         1
VardasNR3741             PavardeNR3741                     2         9         7         8         3         5         7         7         6         6         6        10         4         9         7         5
VardasNR3742             PavardeNR3742                     3         8         8         6         1         3         9         6         1         7         9         7         3         4        10         6
VardasNR3743             PavardeNR3743                     3         4         1         1         2         6         4         9         7         5         4        10         8         2         9         8
VardasNR3744             PavardeNR3744                     3         4         5         3        10         6         6         3         9         4         7         7         3         7         7         4
VardasNR3745             PavardeNR3745                     7         5         4         3         6         2        10         7         4         8        10         7         5         6         4         1
VardasNR3746             PavardeNR3746                     2         1         2         4         8         1         1         8         6         6         7         3         2         8        10         3
VardasNR3747             PavardeNR3747                     8         1         7         4         8         2         2         2         9         4        10         6         2         2         8        10
VardasNR3748             PavardeNR3748                     3         8         7         6         1         1         3        10         3         4        10         2         6         8         2         7
VardasNR3749             PavardeNR3749                     5         6         4         9         7         5         9         3        10         1         2         2         9         6         8         4
VardasNR3750             PavardeNR3750                     4         8        10        10         6         6         9         3         9         7         3         5         7         2         9         7
VardasNR3751             PavardeNR3751                     7         1         2         7         1         7         9         8         5         4        10         6         4         4         3         1
VardasNR3752             PavardeNR3752                     6        10         1         5         1         9         5        10         9         5         2         6         2        10         7         5
VardasNR3753             PavardeNR3753                    10         1         9         5         2         6         5         3         2         3         9         1         5        10        10         9
VardasNR3754             PavardeNR3754                    10         9         4         3         1         3         1        10         9         3         5         7         5         2        10         7
VardasNR3755             PavardeNR3755                     8         4         5         9         8         8         6         8         3         7         3         8         2         5         2        10
VardasNR3756             PavardeNR3756                     6         9         2         1         1         9         5         5        10         8         5         4         8         1         8         9
VardasNR3757             PavardeNR3757                     3         9         9         7         4         7         4         7         1         4         4         7         9        10         3         9
VardasNR3758             PavardeNR3758                    10         6        10         4         3         8         8         9         4         9         4         9         9         7         4         9
VardasNR3759             PavardeNR3759                    10         7         2         3         7        10         4         8         9         4        10         9         3        10         5         7
VardasNR3760             PavardeNR3760                     9        10         1         3         4         1         4         1         7         8         3         2         4         7         2         4
VardasNR3761             PavardeNR3761                     3         9         2         5         8         9         7         4         6         1         3         1         9         8         9         5
VardasNR3762             PavardeNR3762                     7         3         5         2         9         3         4         3         2         8         7         8         7         9         7         7
VardasNR3763             PavardeNR3763                     5         8         5         7         2         9         7         8         9         5         1         6         8        10         9         3
VardasNR3764             PavardeNR3764                     5         2         2        10         2         3         4        10         4         8         1         4         3         9        10         9
VardasNR3765             PavardeNR3765                    10         6         5         2         2         6         7         1         1         2         5         1         2         9         5         1
VardasNR3766             PavardeNR3766                     8         4         8         3         7         1         5        10         4         6         4         2         5         8         6         9
VardasNR3767             PavardeNR3767                     6         6         3         8         6         2         8         3         1         9         7         6        10         2         7         8
VardasNR3768             PavardeNR3768                     9         8         7         2         5         1         6         5        10         2         2         1         1         1         3         6
VardasNR3769             PavardeNR3769                    10         1        10         2         4        10         9         7         6         3        10         4        10         4        10         4
VardasNR3770             PavardeNR3770                     5         1         7         9         7         1         5         6         6         4         4         8         7         1         3         5
VardasNR3771             PavardeNR3771                     9         9         3         5         9         5         2         7         8         2         2         2         6         4         4         1
VardasNR3772             PavardeNR3772                    10         1         2         9         3         1         8         6         4         1         1         1         7         6         1         8
VardasNR3773             PavardeNR3773                    10         5        10         5         6         8         1         8         3         3         8         6         5         1         5         3
VardasNR3774             PavardeNR3774                     5         3         9         1         1        10         8         1        10         1         3         8         7         1        10         3
VardasNR3775             PavardeNR3775                     4         1        10         7         4         2         4         4         7         7         2        10         6         7         2         5
VardasNR3776             PavardeNR3776                     9         5         7         7         1         2         4         2        10         8         5         9         1         8         9        10
VardasNR3777             PavardeNR3777                    10         2         8         1         9         3         4         3         6         3         7         4         4        10         4         6
VardasNR3778             PavardeNR3778                     3         4         3         9         2         7        10         8        10         4         4         1        10         7         4         1
VardasNR3779             PavardeNR3779                     8         8         9         9         3         5         3         4         9         9         6         9         6         3         4         3
VardasNR3780             PavardeNR3780                     6         6         6         8         2         4         4         3         6         3         7         2         2         6         1         6
VardasNR3781             PavardeNR3781                    10        10         8        10         1        10         9         9         4        10         2         6         7        10         8         9
VardasNR3782             PavardeNR3782                     9         8         9         2         8         8         8         5         2         6         3         7         6         9         5         6
VardasNR3783             PavardeNR3783                     6         6         2        10         8         2         1         5         7         3         3         6         1         2         8         4
VardasNR3784             PavardeNR3784                     2         9         1         3         5         4        10         6         7         1         1         2         8         4         8         8
VardasNR3785             PavardeNR3785                     4         9         1        10         3         4         8        10         6        10         5         9         3         6         1         4
VardasNR3786             PavardeNR3786                    10         7        10         5         9         2         4         8         4         9         9         5         1         8         7        10
VardasNR3787             PavardeNR3787                    10         7         6         8         9         6        10         4         7         3         3         6         6         9         2         1
VardasNR3788             PavardeNR3788                     7         6         1        10        10         2         1         2         2         4         3         2         4         8         2         2
